#
# Skeleton Catalog
#
# * Format: CSV
# * Fields: collection:skeleton:type:default_name
# * Last update: 21-AGO-2023
#

Ansible:ansiblelint-role:f:.ansible-lint
Ansible:collection-aplatform64:d:collection-template
Ansible:collection-generic:d:collection-template
Ansible:molecule-aplatform64:d:_project_
Ansible:role-aplatform64-full:d:_project_
Ansible:role-generic:d:_project_

Bash:script-cli-generic:f:main.bash
Bash:script-library-generic:f:lib.bash
Bash:script-task-generic:f:main.bash

BashLib64:script-modular:d:script-modular-template
BashLib64:script-single:f:main.bash

Container:docker-generic:f:Dockerfile
Container:docker-hello_world:f:Dockerfile
Container:docker-ubuntu:f:Dockerfile
Container:docker-multi-stage:f:Dockerfile

Container64:toolbox64-installer:f:toolbox64_install_package

GHActions:bashlib64:d:_project_

GIT:bashlib64-generic:d:_project_
GIT:code-generic:d:_project_
GIT:helm-generic:d:_project_
GIT:terraform-module:d:_project_

Go:main-hello-world:f:main.go

Helm:generic:d:_project_
Helm:helm64:d:_project_

Licenses:apache-v2:f:LICENSE
Licenses:git-coc:f:CODE_OF_CONDUCT.md
Licenses:gnu-v3:f:COPYING

MarkDown:ansible-collection-aplatform64:f:README.md
MarkDown:ansible-collection-generic:f:README.md
MarkDown:ansible-playbook-aplatform64:f:README.md
MarkDown:ansible-role-aplatform64:f:README.md
MarkDown:ansible-role-generic:f:README.md
MarkDown:helm-helm64:f:README.md
MarkDown:project-generic-changelog:f:CHANGELOG.md
MarkDown:project-generic-contributing:f:CONTRIBUTING.md
MarkDown:project-generic-readme-v1:f:README.md
MarkDown:project-generic-readme-v2:f:README.md
MarkDown:project-monorepo-readme-v1:f:README.md
MarkDown:shellscript-generic-v1:f:README.md
MarkDown:shellscript-generic-v2:f:README.md
MarkDown:terraform-module:f:README.md
MarkDown:terraform-terra4cloud64:f:README.md

MkDocs:configuration-material:d:doc-template
MkDocs:configuration-readthedocs:d:doc-template

Python:modules-ansible:d:module-template

ShellCheck:bash-generic:f:.shellcheckrc

Terraform:module-generic:d:module-template

TestManSH:bash-generic:d:test

TestManTF:main-generic:d:terraform

VSCode:configuration-full:d:_project_
VSCode:extensions-full:d:_project_
VSCode:devcontainer-alpine-base:d:_project_

YAML:yamllint-ansible:f:.yamllint

#
# Combos
#

Combo:aplatform64-role:b:aplatform64-role
Combo:git-generic:b:git-generic
Combo:git-helm64:b:git-helm64
Combo:git-shellscript:b:git-shellscript
Combo:git-terraform-module:b:terraform-provider-module
Combo:git-terraform-terra4cloud64:b:terraform-provider-terra4cloud64
